Project_ID,Description,Risk_Types
1,"This is a Mixed-Use project in Perezfurt, Madagascar. Budget: 92.5M, Timeline: 25 months, Past Incidents: 1. The project is well-planned. contingency budget is low",Budget Overrun
2,"This is a Mixed-Use project in Emilybury, Papua New Guinea. Budget: 66.2M, Timeline: 44 months, Past Incidents: 3. The team is experienced. potential supply chain disruptions currency exchange risks potential for soil contamination","Delay,Budget Overrun,Environmental"
3,"This is a Infrastructure project in South Amber, Luxembourg. Budget: 91.6M, Timeline: 48 months, Past Incidents: 3. The project is well-planned. complex scheduling required",Delay
4,"This is a Industrial project in Port Kathrynbury, Montenegro. Budget: 67.8M, Timeline: 24 months, Past Incidents: 5. The project is well-planned. located in a high-risk area potential supply chain disruptions uncertain cost estimates unproven subcontractors","Safety,Delay,Budget Overrun,Quality Issue"
5,"This is a Residential project in Jamesborough, Cyprus. Budget: 63.8M, Timeline: 19 months, Past Incidents: 1. Stakeholders are actively involved. has potential for accidents dependent on weather conditions","Safety,Delay"
6,"This is a Commercial project in Dannyview, Lebanon. Budget: 17.1M, Timeline: 19 months, Past Incidents: 5. The project is well-planned. dependent on weather conditions",Delay
7,"This is a Residential project in Julieville, Svalbard & Jan Mayen Islands. Budget: 61.4M, Timeline: 13 months, Past Incidents: 3. The project follows standard practices. involves heavy machinery complex scheduling required complex design","Safety,Delay,Quality Issue"
8,"This is a Industrial project in Rebeccafurt, Jersey. Budget: 70.1M, Timeline: 26 months, Past Incidents: 4. Stakeholders are actively involved. located in a high-risk area tight quality control needed","Safety,Quality Issue"
9,"This is a Commercial project in Kellerfort, Albania. Budget: 10.3M, Timeline: 52 months, Past Incidents: 0. Stakeholders are actively involved. has a tight deadline tight quality control needed potential for soil contamination","Delay,Quality Issue,Environmental"
10,"This is a Industrial project in Port James, Grenada. Budget: 51.5M, Timeline: 22 months, Past Incidents: 4. The project is well-planned. involves heavy machinery has a tight deadline","Safety,Delay"
11,"This is a Infrastructure project in Hallbury, Trinidad and Tobago. Budget: 39.1M, Timeline: 7 months, Past Incidents: 3. The project is well-planned. requires working at heights complex scheduling required potential for soil contamination","Safety,Delay,Environmental"
12,"This is a Mixed-Use project in Griffithfort, Angola. Budget: 91.9M, Timeline: 40 months, Past Incidents: 5. The project follows standard practices. involves heavy machinery scope creep is likely","Safety,Budget Overrun"
13,"This is a Industrial project in Heatherberg, Hungary. Budget: 92.0M, Timeline: 29 months, Past Incidents: 4. The team is experienced. has potential for accidents potential supply chain disruptions complex design high carbon footprint","Safety,Delay,Quality Issue,Environmental"
14,"This is a Industrial project in Valentineton, Eritrea. Budget: 88.8M, Timeline: 45 months, Past Incidents: 5. The project follows standard practices. needs strict safety protocols contingency budget is low high carbon footprint","Safety,Budget Overrun,Environmental"
15,"This is a Commercial project in Patrickland, China. Budget: 56.3M, Timeline: 60 months, Past Incidents: 1. The project is well-planned. has potential for accidents complex scheduling required","Safety,Delay"
16,"This is a Commercial project in West Sherylborough, France. Budget: 91.6M, Timeline: 31 months, Past Incidents: 0. Stakeholders are actively involved. contingency budget is low potential for soil contamination","Budget Overrun,Environmental"
17,"This is a Residential project in Robertsonshire, Switzerland. Budget: 67.7M, Timeline: 48 months, Past Incidents: 1. The project is well-planned. contingency budget is low",Budget Overrun
18,"This is a Industrial project in Hoodfurt, United States of America. Budget: 94.4M, Timeline: 22 months, Past Incidents: 4. The project follows standard practices. needs strict safety protocols complex scheduling required material prices are volatile located in a sensitive ecosystem","Safety,Delay,Budget Overrun,Environmental"
19,"This is a Mixed-Use project in Lake Carolyn, Monaco. Budget: 21.1M, Timeline: 44 months, Past Incidents: 3. The team is experienced. may face permitting delays strict environmental regulations","Delay,Environmental"
20,"This is a Infrastructure project in Lake Lisashire, Saint Lucia. Budget: 41.9M, Timeline: 60 months, Past Incidents: 4. Stakeholders are actively involved. requires working at heights dependent on weather conditions scope creep is likely","Safety,Delay,Budget Overrun"
21,"This is a Infrastructure project in North Donald, Lao People's Democratic Republic. Budget: 37.9M, Timeline: 42 months, Past Incidents: 0. The project is well-planned. involves heavy machinery",Safety
22,"This is a Mixed-Use project in Smithmouth, United States Virgin Islands. Budget: 69.0M, Timeline: 7 months, Past Incidents: 5. The project is well-planned. has potential for accidents material prices are volatile complex design waste management challenges","Safety,Budget Overrun,Quality Issue,Environmental"
23,"This is a Industrial project in Manningborough, Jordan. Budget: 51.3M, Timeline: 11 months, Past Incidents: 3. The team is experienced. high precision required",Quality Issue
24,"This is a Industrial project in Stephaniebury, Ukraine. Budget: 95.6M, Timeline: 15 months, Past Incidents: 4. Stakeholders are actively involved. has potential for accidents high precision required high carbon footprint","Safety,Quality Issue,Environmental"
25,"This is a Industrial project in East Johnathanchester, Reunion. Budget: 22.8M, Timeline: 49 months, Past Incidents: 3. Stakeholders are actively involved. complex design located in a sensitive ecosystem","Quality Issue,Environmental"
26,"This is a Residential project in Kennethland, Palestinian Territory. Budget: 76.9M, Timeline: 25 months, Past Incidents: 1. Stakeholders are actively involved. potential supply chain disruptions strict environmental regulations","Delay,Environmental"
27,"This is a Commercial project in New Kelly, Zambia. Budget: 69.7M, Timeline: 32 months, Past Incidents: 1. The team is experienced. has potential for accidents uses new construction techniques","Safety,Quality Issue"
28,"This is a Commercial project in West Elizabeth, Cote d'Ivoire. Budget: 93.4M, Timeline: 26 months, Past Incidents: 1. The project follows standard practices. complex scheduling required scope creep is likely","Delay,Budget Overrun"
29,"This is a Residential project in New Josephtown, Heard Island and McDonald Islands. Budget: 68.9M, Timeline: 26 months, Past Incidents: 1. The team is experienced. has a tight deadline currency exchange risks unproven subcontractors","Delay,Budget Overrun,Quality Issue"
30,"This is a Industrial project in New Alexanderberg, Czech Republic. Budget: 71.7M, Timeline: 23 months, Past Incidents: 3. Stakeholders are actively involved. involves heavy machinery may face permitting delays high carbon footprint","Safety,Delay,Environmental"
31,"This is a Residential project in Lake Alexandermouth, French Guiana. Budget: 51.9M, Timeline: 29 months, Past Incidents: 1. The project follows standard practices. contingency budget is low",Budget Overrun
32,"This is a Industrial project in Port Melissa, Saint Barthelemy. Budget: 62.7M, Timeline: 43 months, Past Incidents: 3. The project is well-planned. has a tight deadline",Delay
33,"This is a Commercial project in Judyburgh, Micronesia. Budget: 97.4M, Timeline: 22 months, Past Incidents: 5. The project follows standard practices. material prices are volatile",Budget Overrun
34,"This is a Mixed-Use project in Samuelmouth, Nigeria. Budget: 74.5M, Timeline: 29 months, Past Incidents: 4. Stakeholders are actively involved. requires working at heights uncertain cost estimates strict environmental regulations","Safety,Budget Overrun,Environmental"
35,"This is a Infrastructure project in Donaldville, Luxembourg. Budget: 11.0M, Timeline: 19 months, Past Incidents: 4. The team is experienced. located in a high-risk area scope creep is likely","Safety,Budget Overrun"
36,"This is a Residential project in Danielside, Estonia. Budget: 26.4M, Timeline: 49 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions",Delay
37,"This is a Industrial project in Lake Matthewview, Iraq. Budget: 69.7M, Timeline: 27 months, Past Incidents: 0. The project is well-planned. located in a sensitive ecosystem",Environmental
38,"This is a Mixed-Use project in Mccoyfort, Falkland Islands (Malvinas). Budget: 44.2M, Timeline: 39 months, Past Incidents: 4. The team is experienced. requires working at heights potential supply chain disruptions contingency budget is low potential for soil contamination","Safety,Delay,Budget Overrun,Environmental"
39,"This is a Mixed-Use project in East Sarah, Senegal. Budget: 44.3M, Timeline: 41 months, Past Incidents: 1. The team is experienced. may face permitting delays contingency budget is low","Delay,Budget Overrun"
40,"This is a Infrastructure project in North Alyssa, French Southern Territories. Budget: 57.6M, Timeline: 40 months, Past Incidents: 5. Stakeholders are actively involved. located in a high-risk area potential for soil contamination","Safety,Environmental"
41,"This is a Infrastructure project in Nolanview, Saint Vincent and the Grenadines. Budget: 73.3M, Timeline: 29 months, Past Incidents: 3. The team is experienced. has potential for accidents scope creep is likely","Safety,Budget Overrun"
42,"This is a Commercial project in Port Jeremy, South Georgia and the South Sandwich Islands. Budget: 74.6M, Timeline: 10 months, Past Incidents: 0. The project follows standard practices. potential supply chain disruptions",Delay
